,material_id,material_name,current,unit,jan,feb,mar,apr,may,jun,jul
3004,0517010701500000,    ขนาดเส้นผ่านศูนย์กลาง 2200 มม.,104858.4,เมตร ,104858.4,104858.4,104858.4,104858.4,104858.4,104858.4,104858.4
3005,0517010701600000,    ขนาดเส้นผ่านศูนย์กลาง 2400 มม.,131790.17,เมตร ,131790.17,131790.17,131790.17,131790.17,131790.17,131790.17,131790.17
3006,0518000000000000,ท่อแสตนเลส,กรกฎาคม,หน่วย,มกราคม,กุมภาพันธ์,มีนาคม,เมษายน,พฤษภาคม,มิถุนายน,กรกฎาคม
3007,0518010100100000,    ขนาดเส้นผ่านศูนย์กลาง 1/2 นิ้ว หนา 1.2 มม. ยาว 6 เมตร,195,ท่อน ,195,190,200,190,200,195,195
3008,0518010100200000,    ขนาดเส้นผ่านศูนย์กลาง 3/4 นิ้ว หนา 1.2 มม. ยาว 6 เมตร,300,ท่อน ,300,300,300,300,300,300,300
3009,0518010100300000,    ขนาดเส้นผ่านศูนย์กลาง 1 นิ้ว หนา 1.2 มม. ยาว 6 เมตร,405,ท่อน ,410,395,405,400,405,410,405
3010,0518010100400000,    ขนาดเส้นผ่านศูนย์กลาง 1 1/4 นิ้ว หนา 1.2 มม. ยาว 6 เมตร,510,ท่อน ,520,510,510,510,510,515,510
3011,0518010100500000,    ขนาดเส้นผ่านศูนย์กลาง 1 1/2 นิ้ว หนา 1.2 มม. ยาว 6 เมตร,615,ท่อน ,650,630,620,610,610,620,615
3012,0518010100600000,    ขนาดเส้นผ่านศูนย์กลาง 2 นิ้ว หนา 1.2 มม. ยาว 6 เมตร,830,ท่อน ,860,820,810,820,830,840,830
3013,0518010100700000,    ขนาดเส้นผ่านศูนย์กลาง 2 1/2 นิ้ว หนา 1.2 มม. ยาว 6 เมตร,1040,ท่อน ,1020,1040,1050,1020,1030,1050,1040
3014,0518010100800000,    ขนาดเส้นผ่านศูนย์กลาง 3 นิ้ว หนา 1.2 มม. ยาว 6 เมตร,1250,ท่อน ,1270,1260,1260,1240,1250,1260,1250
3015,0518010100900000,    ขนาดเส้นผ่านศูนย์กลาง 4 นิ้ว หนา 1.5 มม. ยาว 6 เมตร,2060,ท่อน ,2160,2070,2090,2060,2130,2150,2060
3016,0521000000000000,ท่อเหล็กกล้าตะเข็บเกลียว ชนิดบนดิน มอก.427-2562,กรกฎาคม,หน่วย,มกราคม,กุมภาพันธ์,มีนาคม,เมษายน,พฤษภาคม,มิถุนายน,กรกฎาคม
3017,0521010100100000,    ชนิดบนดิน (มอก.427-2562) ขนาด ND.150 หนา 5.5 มม.,2890,เมตร ,2830,2830,2890,2890,2890,2890,2890
3018,0521010100200000,    ชนิดบนดิน (มอก.427-2562) ขนาด ND.200 หนา 6.0 มม.,4110,เมตร ,4030,4030,4110,4110,4110,4110,4110
3019,0521010100300000,    ชนิดบนดิน (มอก.427-2562) ขนาด ND.250 หนา 6.0 มม.,5160,เมตร ,5050,5050,5160,5160,5160,5160,5160
3020,0521010100400000,    ชนิดบนดิน (มอก.427-2562) ขนาด ND.300 หนา 6.0 มม.,6130,เมตร ,6010,6010,6130,6130,6130,6130,6130
3021,0521010100500000,    ชนิดบนดิน (มอก.427-2562) ขนาด ND.350 หนา 6.0 มม.,6740,เมตร ,6600,6600,6740,6740,6740,6740,6740
3022,0521010100600000,    ชนิดบนดิน (มอก.427-2562) ขนาด ND.400 หนา 7.9 มม.,10100,เมตร ,9900,9900,10100,10100,10100,10100,10100
3023,0521010100700000,    ชนิดบนดิน (มอก.427-2562) ขนาด ND.500 หนา 7.9 มม.,12680,เมตร ,12430,12430,12680,12680,12680,12680,12680
3024,0521010100800000,    ชนิดบนดิน (มอก.427-2562) ขนาด ND.600 หนา 11.1 มม.,21310,เมตร ,20890,20890,21310,21310,21310,21310,21310
3025,0521010100900000,    ชนิดบนดิน (มอก.427-2562) ขนาด ND.700 หนา 11.1 มม.,24920,เมตร ,24430,24430,24920,24920,24920,24920,24920
3026,0521010101000000,    ชนิดบนดิน (มอก.427-2562) ขนาด ND.800 หนา 12.7 มม.,32750,เมตร ,32100,32100,32750,32750,32750,32750,32750
3027,0521010101100000,    ชนิดบนดิน (มอก.427-2562) ขนาด ND.900 หนา 12.7 มม.,36720,เมตร ,36000,36000,36720,36720,36720,36720,36720
3028,0521010101200000,    ชนิดบนดิน (มอก.427-2562) ขนาด ND.1000 หนา 12.7 มม.,40860,เมตร ,40050,40050,40860,40860,40860,40860,40860
3029,0521010101300000,    ชนิดบนดิน (มอก.427-2562) ขนาด ND.1100 หนา 12.7 มม.,44990,เมตร ,44100,44100,44990,44990,44990,44990,44990
3030,0521010101400000,    ชนิดบนดิน (มอก.427-2562) ขนาด ND.1200 หนา 15.9 มม.,61330,เมตร ,60120,60120,61330,61330,61330,61330,61330
3031,0521010101500000,    ชนิดบนดิน (มอก.427-2562) ขนาด ND.1500 หนา 19.1 มม.,92140,เมตร ,90330,90330,92140,92140,92140,92140,92140
3032,0521010101600000,    ชนิดบนดิน (มอก.427-2562) ขนาด ND.1600 หนา 19.1 มม.,98350,เมตร ,96420,96420,98350,98350,98350,98350,98350
3033,0521010101700000,    ชนิดบนดิน (มอก.427-2562) ขนาด ND.1800 หนา 25.4 มม.,146100,เมตร ,143230,143230,146100,146100,146100,146100,146100
3034,0521010101800000,    ชนิดบนดิน (มอก.427-2562) ขนาด ND.2000 หนา 25.4 มม.,162480,เมตร ,159190,159190,162480,162480,162480,162480,162480
3035,0522000000000000,ท่อเหล็กกล้าตะเข็บเกลียว ชนิดใต้ดิน มอก.427-2562,กรกฎาคม,หน่วย,มกราคม,กุมภาพันธ์,มีนาคม,เมษายน,พฤษภาคม,มิถุนายน,กรกฎาคม
3036,0522101010100000,    ชนิดใต้ดิน (มอก.427-2562) ขนาด ND.150 หนา 3.45 มม.,1840,เมตร ,1800,1800,1840,1840,1840,1840,1840
3037,0522101010200000,    ชนิดใต้ดิน (มอก.427-2562) ขนาด ND.200 หนา 4.5 มม.,3120,เมตร ,3050,3050,3120,3120,3120,3120,3120
3038,0522101010300000,    ชนิดใต้ดิน (มอก.427-2562) ขนาด ND.250 หนา 4.8 มม.,4200,เมตร ,4117,4117,4200,4200,4200,4200,4200
3039,0522101010400000,    ชนิดใต้ดิน (มอก.427-2562) ขนาด ND.300 หนา 6.0 มม.,6130,เมตร ,6010,6010,6130,6130,6130,6130,6130
3040,0522101010500000,    ชนิดใต้ดิน (มอก.427-2562) ขนาด ND.350 หนา 6.0 มม.,6740,เมตร ,6600,6600,6740,6740,6740,6740,6740
3041,0522101010600000,    ชนิดใต้ดิน (มอก.427-2562) ขนาด ND.400 หนา 6.0 มม.,7720,เมตร ,7560,7560,7720,7720,7720,7720,7720
3042,0522101010700000,    ชนิดใต้ดิน (มอก.427-2562) ขนาด ND.500 หนา 6.0 มม.,9670,เมตร ,9480,9480,9670,9670,9670,9670,9670
3043,0522101010800000,    ชนิดใต้ดิน (มอก.427-2562) ขนาด ND.600 หนา 6.0 มม.,11620,เมตร ,11390,11390,11620,11620,11620,11620,11620
3044,0522101010900000,    ชนิดใต้ดิน (มอก.427-2562) ขนาด ND.700 หนา 6.0 มม.,13570,เมตร ,13300,13300,13570,13570,13570,13570,13570
3045,0522101011000000,    ชนิดใต้ดิน (มอก.427-2562) ขนาด ND.800 หนา 7.9 มม.,20390,เมตร ,19990,19990,20390,20390,20390,20390,20390
3046,0522101011100000,    ชนิดใต้ดิน (มอก.427-2562) ขนาด ND.900 หนา 7.9 มม.,22970,เมตร ,22520,22520,22970,22970,22970,22970,22970
3047,0522101011200000,    ชนิดใต้ดิน (มอก.427-2562) ขนาด ND.1000 หนา 9.5 มม.,30660,เมตร ,30050,30050,30660,30660,30660,30660,30660
3048,0522101011300000,    ชนิดใต้ดิน (มอก.427-2562) ขนาด ND.1100 หนา 9.5 มม.,33950,เมตร ,33280,33280,33950,33950,33950,33950,33950
3049,0522101011400000,    ชนิดใต้ดิน (มอก.427-2562) ขนาด ND.1200 หนา 11.1 มม.,42990,เมตร ,42140,42140,42990,42990,42990,42990,42990
3050,0522101011500000,    ชนิดใต้ดิน (มอก.427-2562) ขนาด ND.1500 หนา 12.7 มม.,61520,เมตร ,60310,60310,61520,61520,61520,61520,61520
3051,0522101011600000,    ชนิดใต้ดิน (มอก.427-2562) ขนาด ND.1600 หนา 12.7 มม.,65660,เมตร ,64370,64370,65660,65660,65660,65660,65660
3052,0522101011700000,    ชนิดใต้ดิน (มอก.427-2562) ขนาด ND.1800 หนา 15.9 มม.,91950,เมตร ,90140,90140,91950,91950,91950,91950,91950
3053,0522101011800000,    ชนิดใต้ดิน (มอก.427-2562) ขนาด ND.2000 หนา 19.1 มม.,122490,เมตร ,120080,120080,122490,122490,122490,122490,122490
3054,0523000000000000,ท่อน้ำประปา พีพีอาร์,กรกฎาคม,หน่วย,มกราคม,กุมภาพันธ์,มีนาคม,เมษายน,พฤษภาคม,มิถุนายน,กรกฎาคม
3055,0523010100000000,  ท่อ PPR(80) ประเภท SDR11 PN10 (DIN 8077/8078),x,x,x,x,x,x,x,x,x
3056,0523010100100000,    น้ำดี อุณหภูมิไม่เกิน 60 องศา ขนาด ศก. 25 มม. (3/4 นิ้ว) ยาว 4 เมตร,184,ท่อน ,184,184,184,184,184,184,184
3057,0523010100200000,    น้ำดี อุณหภูมิไม่เกิน 60 องศา ขนาด ศก. 32 มม. (1 นิ้ว) ยาว 4 เมตร,304,ท่อน ,304,304,304,304,304,304,304
3058,0523010100300000,    น้ำดี อุณหภูมิไม่เกิน 60 องศา ขนาด ศก. 40 มม. (1 1/4 นิ้ว) ยาว 4 เมตร,452,ท่อน ,452,452,452,452,452,452,452
3059,0523010100400000,    น้ำดี อุณหภูมิไม่เกิน 60 องศา ขนาด ศก. 50 มม. (1 1/2 นิ้ว) ยาว 4 เมตร,720,ท่อน ,720,720,720,720,720,720,720
3060,0523010100500000,    น้ำดี อุณหภูมิไม่เกิน 60 องศา ขนาด ศก. 63 มม. (2 นิ้ว) ยาว 4 เมตร,1148,ท่อน ,1148,1148,1148,1148,1148,1148,1148
3061,0523010100600000,    น้ำดี อุณหภูมิไม่เกิน 60 องศา ขนาด ศก. 75 มม. (2 1/2 นิ้ว) ยาว 4 เมตร,1608,ท่อน ,1608,1608,1608,1608,1608,1608,1608
3062,0523010100700000,    น้ำดี อุณหภูมิไม่เกิน 60 องศา ขนาด ศก. 90 มม. (3 นิ้ว) ยาว 4 เมตร,2248,ท่อน ,2248,2248,2248,2248,2248,2248,2248
3063,0523010100800000,    น้ำดี อุณหภูมิไม่เกิน 60 องศา ขนาด ศก. 110 มม. (4 นิ้ว) ยาว 4 เมตร,3336,ท่อน ,3336,3336,3336,3336,3336,3336,3336
3064,0523010100900000,    น้ำดี อุณหภูมิไม่เกิน 60 องศา ขนาด ศก. 125 มม. (5 นิ้ว) ยาว 4 เมตร,5268,ท่อน ,5268,5268,5268,5268,5268,5268,5268
3065,0523010101000000,    น้ำดี อุณหภูมิไม่เกิน 60 องศา ขนาด ศก. 160 มม. (6 นิ้ว) ยาว 4 เมตร,9800,ท่อน ,9800,9800,9800,9800,9800,9800,9800
3066,0523010101100000,    น้ำดี อุณหภูมิไม่เกิน 60 องศา ขนาด ศก. 200 มม. (8 นิ้ว) ยาว 4 เมตร,18456,ท่อน ,18456,18456,18456,18456,18456,18456,18456
3067,0523010101200000,    น้ำดี อุณหภูมิไม่เกิน 60 องศา ขนาด ศก. 250 มม. (10 นิ้ว) ยาว 4 เมตร,23388,ท่อน ,23388,23388,23388,23388,23388,23388,23388
3068,0523010101300000,    น้ำดี อุณหภูมิไม่เกิน 60 องศา ขนาด ศก. 315 มม. (12 นิ้ว) ยาว 4 เมตร,40800,ท่อน ,40800,40800,40800,40800,40800,40800,40800
3069,0523010200000000,  ท่อ PPR(80) ประเภท SDR6 PN20 (DIN 8077/8078),x,x,x,x,x,x,x,x,x
3070,0523010200100000,    น้ำดี หรือน้ำร้อน อุณหภูมิไม่เกิน 95 องศา ขนาด ศก. 20 มม. (1/2 นิ้ว) ยาว 4 เมตร,216,ท่อน ,216,216,216,216,216,216,216
3071,0523010200200000,    น้ำดี หรือน้ำร้อน อุณหภูมิไม่เกิน 95 องศา ขนาด ศก. 25 มม. (3/4 นิ้ว) ยาว 4 เมตร,332,ท่อน ,332,332,332,332,332,332,332
3072,0523010200300000,    น้ำดี หรือน้ำร้อน อุณหภูมิไม่เกิน 95 องศา ขนาด ศก. 32 มม. (1 นิ้ว) ยาว 4 เมตร,536,ท่อน ,536,536,536,536,536,536,536
3073,0523010200400000,    น้ำดี หรือน้ำร้อน อุณหภูมิไม่เกิน 95 องศา ขนาด ศก. 40 มม. (1 1/4 นิ้ว) ยาว 4 เมตร,836,ท่อน ,836,836,836,836,836,836,836
3074,0523010200500000,    น้ำดี หรือน้ำร้อน อุณหภูมิไม่เกิน 95 องศา ขนาด ศก. 50 มม. (1 1/2 นิ้ว) ยาว 4 เมตร,1300,ท่อน ,1300,1300,1300,1300,1300,1300,1300
3075,0523010200600000,    น้ำดี หรือน้ำร้อน อุณหภูมิไม่เกิน 95 องศา ขนาด ศก. 63 มม. (2 นิ้ว) ยาว 4 เมตร,2044,ท่อน ,2044,2044,2044,2044,2044,2044,2044
3076,0523010200700000,    น้ำดี หรือน้ำร้อน อุณหภูมิไม่เกิน 95 องศา ขนาด ศก. 75 มม. (2 1/2 นิ้ว) ยาว 4 เมตร,2352,ท่อน ,2352,2352,2352,2352,2352,2352,2352
3077,0523010200800000,    น้ำดี หรือน้ำร้อน อุณหภูมิไม่เกิน 95 องศา ขนาด ศก. 90 มม. (3 นิ้ว) ยาว 4 เมตร,3508,ท่อน ,3508,3508,3508,3508,3508,3508,3508
